,id,contract_start,age,applicant_gender,applicant_maritalstatus,applicant_education,dependants,job,town,default
0,1,2018-01-04,43.0,MALE,MARRIED,SECONDARY_SPECIALISED,3,EMPLOYEE,Reykjavík,0
1,2,2018-01-24,50.0,FEMALE,MARRIED,SECONDARY,3,ENTREPRENEUR,Reykjavík,1
2,3,2018-01-02,29.0,MALE,COHABITING,SECONDARY_SPECIALISED,0,EMPLOYEE,Vestmannaeyjar,0
3,4,2018-01-02,29.0,MALE,COHABITING,SECONDARY_SPECIALISED,0,EMPLOYEE,Álftanes,0
4,5,2018-01-02,28.0,MALE,COHABITING,SECONDARY_SPECIALISED,1,EMPLOYEE,Reykjavík,1
5,6,2018-01-10,36.0,MALE,MARRIED,HIGHER_BA,0,EMPLOYEE,Reykjavík,0
6,7,2018-01-10,112.0,MALE,MARRIED,HIGHER_BA,1,EMPLOYEE,Akranes,0
7,8,2018-01-17,47.0,FEMALE,DIVORCED,HIGHER_MA,3,EMPLOYEE,Hafnarfjörður,0
8,9,2018-01-02,36.0,FEMALE,MARRIED,HIGHER_MA,1,EMPLOYEE,Ísafjörður,1
9,10,2018-01-02,37.0,MALE,SINGLE,HIGHER_MA,3,EMPLOYEE,Reykjavík,1
10,11,2018-01-04,54.0,FEMALE,SINGLE,HIGHER_BA,3,EMPLOYEE,Seltjarnarnes,0
11,12,2018-01-03,49.0,MALE,COHABITING,HIGHER_BA,0,EMPLOYEE,Reykjavík,0
12,13,2018-01-03,51.0,MALE,MARRIED,SECONDARY_SPECIALISED,4,PENSIONER,Kópavogur,0
13,14,2018-01-04,57.0,MALE,MARRIED,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
14,15,2018-01-04,41.0,FEMALE,DIVORCED,HIGHER_MA,0,EMPLOYEE,Reykjavík,1
15,16,2018-01-09,42.0,MALE,DIVORCED,HIGHER_BA,0,STUDENT,Akranes,0
16,17,2018-01-03,46.0,FEMALE,COHABITING,HIGHER_MA,0,UNEMPLOYED,Reykjavík,0
17,18,2018-01-04,61.0,MALE,MARRIED,SECONDARY,0,EMPLOYEE,Reykjavík,0
18,19,2018-01-03,32.0,FEMALE,COHABITING,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
19,20,2018-01-05,57.0,FEMALE,COHABITING,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,1
20,21,2018-01-15,55.0,FEMALE,MARRIED,SECONDARY_SPECIALISED,1,PENSIONER,Reykjavík,0
21,22,2018-01-04,45.0,FEMALE,COHABITING,SECONDARY_SPECIALISED,2,PENSIONER,Reykjavík,0
22,23,2018-01-05,30.0,MALE,COHABITING,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,1
23,24,2018-01-05,30.0,MALE,COHABITING,SECONDARY_SPECIALISED,1,EMPLOYEE,Grindavík,1
24,25,2018-01-05,46.0,FEMALE,SINGLE,SECONDARY_SPECIALISED,0,EMPLOYEE,Reykjavík,0
25,26,2018-01-08,40.0,FEMALE,COHABITING,HIGHER_BA,0,EMPLOYEE,Reykjavík,0
26,27,2018-01-08,50.0,MALE,MARRIED,HIGHER_BA,2,PENSIONER,Reykjavík,0
27,28,2018-01-08,36.0,MALE,MARRIED,SECONDARY_SPECIALISED,1,EMPLOYEE,Akureyri,0
28,29,2018-01-05,35.0,FEMALE,SINGLE,HIGHER_MA,0,UNEMPLOYED,Álftanes,1
29,30,2018-01-05,40.0,MALE,MARRIED,SECONDARY_SPECIALISED,1,UNEMPLOYED,Reykjavík,1
30,31,2018-01-08,45.0,MALE,COHABITING,HIGHER_MA,1,EMPLOYEE,Reykjavík,0
31,32,2018-01-05,44.0,MALE,MARRIED,SECONDARY_SPECIALISED,3,EMPLOYEE,Reykjavík,0
32,33,2018-01-05,44.0,MALE,MARRIED,SECONDARY_SPECIALISED,0,EMPLOYEE,Hafnarfjörður,0
33,34,2018-01-05,44.0,MALE,MARRIED,SECONDARY_SPECIALISED,2,EMPLOYEE,Álftanes,0
